ObjID,a,e,inc,node,argPeri,ma,epochMJD_TDB,FORMAT
A923 PD,3.2120964,0.12220639999999999,9.31555,259.09873,146.13376,168.11301,60400.0,KEP
A923 PJ,2.7873053,0.1536702,10.77129,343.71248,354.89975,213.82395,60400.0,KEP
A923 RV,3.1381986,0.16050609999999998,1.8405,139.44385,316.7178,277.22647,60400.0,KEP
A923 RR,3.4018107,0.09020829999999999,2.97914,153.51832,214.99251,11.30958,60400.0,KEP
A923 RS,3.164149,0.11976179999999999,19.0616,349.12206,60.87175,266.07085,60400.0,KEP
A923 RU,3.1388627,0.3586605,10.92245,294.54323,86.35101,347.86693,60400.0,KEP
A923 TD,2.7086725,0.109077,2.54081,307.05428,76.95955,196.54246,60400.0,KEP
A923 UD,3.0939896,0.0728398,8.93129,20.21185,15.98965,144.6929,60400.0,KEP
A923 UE,2.6292813,0.45293069999999996,15.71705,229.27931,186.58412,206.72208,60400.0,KEP
A923 VH,2.93235,0.10591429999999999,3.90754,98.70192,279.64627,17.53494,60400.0,KEP
A924 AC,2.394433,0.34849759999999996,5.48838,132.45882,353.19301,7.30383,60400.0,KEP
A924 AD,2.4785261,0.1364321,4.02961,73.14962,25.64728,240.34274,60400.0,KEP
A924 BL,2.6839361,0.20886249999999998,11.8989,27.23335,99.37514,273.99402,60400.0,KEP
A924 BM,2.799964,0.20397659999999998,2.26529,251.46269,234.58728,115.32843,60400.0,KEP
A924 CF,3.2051506,0.0890711,9.44713,120.11496,286.99871,249.36309,60400.0,KEP
A924 CG,2.2197904999999998,0.1273978,6.03529,8.81428,53.19286,171.60614,60400.0,KEP
A924 CH,2.6068709,0.07633029999999999,7.92555,118.74943,69.93086,259.06964,60400.0,KEP
A924 ET,2.5415247,0.2450558,7.63121,359.58019,343.26936,67.78758,60400.0,KEP
A924 ES,1.9114389999999999,0.0713227,26.97757,144.36636,122.15938,205.5138,60400.0,KEP
A924 EU,2.7886315,0.042744899999999995,4.06003,180.66714,35.94975,125.37009,60400.0,KEP
A924 EW,2.7390195,0.2842617,15.85719,115.40416,286.70005,129.92629,60400.0,KEP
A924 MB,2.8051435,0.1731063,21.05403,111.94117,124.79043,111.97169,60400.0,KEP
A924 MC,3.1716405,0.09611589999999999,10.06195,193.91389,196.0599,164.30382,60400.0,KEP
A923 XC,2.8699749,0.2213482,16.06838,58.78574,308.17162,259.51087,60400.0,KEP
A923 PG,1.9791275,0.0395302,26.86825,163.35465,348.97666,232.03335,60400.0,KEP
A923 PH,2.2545825,0.18141369999999998,5.39868,104.55267,212.31665,271.4784,60400.0,KEP
A923 VG,3.1539748,0.1277719,1.25228,29.36729,131.60851,219.98662,60400.0,KEP
A923 VF,3.418905,0.10454139999999999,9.39968,62.71098,21.74517,334.47462,60400.0,KEP
A924 HB,2.8885432,0.0276263,2.42463,29.87169,138.69035,173.04843,60400.0,KEP
A924 KD,3.120579,0.1227587,14.775830000000001,187.8001,5.11837,73.65095,60400.0,KEP
A924 LC,3.0462299,0.059953299999999994,17.63835,218.61914,310.38131,1.27052,60400.0,KEP
A924 KE,3.1309236,0.14109629999999998,9.48003,76.2916,188.85601,349.38918,60400.0,KEP
A924 RH,3.0035746,0.119849,10.66113,188.92708,216.87383,4.23604,60400.0,KEP
A924 RK,2.2929732,0.263044,3.96959,304.46594,18.83257,264.53574,60400.0,KEP
A924 SF,3.1514821,0.18934769999999998,18.00437,1.85444,325.0925,338.99898,60400.0,KEP
A924 UB,2.665493,0.5328466,26.68672,215.49723,132.48332,321.69056,60400.0,KEP
A924 UC,2.254716,0.19098289999999998,5.90252,200.64675,169.67059,150.77849,60400.0,KEP
A924 WO,3.9794883,0.2219787,9.18765,57.69852,305.28674,278.14608,60400.0,KEP
A924 WP,2.6797786,0.0610313,4.55331,221.64948,325.92152,101.9768,60400.0,KEP
1925 BD,3.1170934,0.1880056,16.65355,279.95594,157.49982,39.18868,60400.0,KEP
1925 FA,3.0701668,0.1456485,13.93924,59.97532,344.35515,282.47058,60400.0,KEP
1925 HA,3.2368854,0.08736759999999999,20.70988,52.38467,298.90115,264.69189,60400.0,KEP
1925 HB,3.0934901,0.0378432,8.92165,159.16265,158.46922,325.94869,60400.0,KEP
A924 JD,2.5760511,0.1433553,4.249,59.92549,228.10165,359.91971,60400.0,KEP
A924 WN,2.3593606,0.15823189999999998,0.26369000000000004,267.16846,167.351,138.65744,60400.0,KEP
A924 XF,2.984397,0.060113799999999995,7.90887,10.48668,49.54256,112.84434,60400.0,KEP
A924 WM,2.2414084,0.1923424,5.66525,78.183,300.30189,242.20229,60400.0,KEP
A924 WQ,2.7341074,0.1818022,15.83762,52.64937,184.84001,197.86941,60400.0,KEP
1925 RB,3.0940831,0.138427,15.10403,342.8211,40.9871,10.17437,60400.0,KEP
1925 RC,2.6250071999999998,0.1786288,12.49253,342.27559,65.97208,23.37078,60400.0,KEP
1925 SA,3.2140483,0.1011859,23.507460000000002,180.69191,153.85114,40.97401,60400.0,KEP
1925 VD,2.2364002,0.14322749999999998,4.69576,99.54065,297.70202,166.82803,60400.0,KEP
1925 WA,2.6144022,0.09540399999999999,8.34139,17.55212,41.25561,74.25828,60400.0,KEP
1925 WD,2.9220422999999998,0.1344771,10.8721,85.742,296.01031,276.33006,60400.0,KEP
1925 WG,2.1978577,0.20854209999999998,5.27824,147.08811,176.61113,135.0401,60400.0,KEP
A924 CE,2.2296117,0.1782773,5.42734,104.10491,212.36427,216.70732,60400.0,KEP
1925 QB,2.8918863,0.24756789999999998,3.5421300000000002,257.84271,114.93758,343.81387,60400.0,KEP
1925 MA,2.1969122,0.18771269999999998,3.69341,221.70355,94.59038,95.4835,60400.0,KEP
1925 OA,2.6419297,0.1870571,10.09388,200.31243,87.9168,1.93062,60400.0,KEP
1925 PA,2.236975,0.2027319,5.92182,221.0945,84.69951,178.99852,60400.0,KEP
1925 TB,3.1220256,0.2175403,2.49979,90.90058,306.55455,281.88972,60400.0,KEP
1925 TD,3.0037322,0.0712298,5.5960600000000005,341.36653,100.43405,276.02347,60400.0,KEP
1925 XA,2.3149517,0.0392434,5.97427,95.28954,106.45556,196.49024,60400.0,KEP
1926 PA,2.542863,0.1761299,9.50239,280.53492,20.47561,28.92817,60400.0,KEP
1926 PD,2.3612014,0.29656879999999997,8.36095,330.30622,353.67393,330.83554,60400.0,KEP
1926 RA,2.402508,0.2089395,4.81661,344.9824,17.2531,61.29827,60400.0,KEP
1926 RG,2.8700096999999998,0.1936936,10.55153,289.5407,114.93645,349.5855,60400.0,KEP
1926 RK,2.9079875,0.0974193,5.48839,318.59489,265.86414,9.13326,60400.0,KEP
1927 BC,3.1262993,0.10949779999999999,13.56331,142.34897,30.88566,144.99659,60400.0,KEP
1926 RB,3.2312745,0.0800776,16.96337,165.26585,191.36809,304.9819,60400.0,KEP
A924 ER,2.8005594,0.1111455,5.3613,52.47118,29.26425,202.46357,60400.0,KEP
1926 TA,3.1693098,0.23747569999999998,8.02232,36.92302,25.31062,55.7881,60400.0,KEP
A923 RW,3.1856089,0.1870822,1.59796,39.53703,289.81376,303.13936,60400.0,KEP
1925 BE,3.147529,0.1809082,0.7999100000000001,38.09307,22.65776,294.65666,60400.0,KEP
1926 SC,3.015592,0.1091336,11.53075,100.70209,250.98128,248.14676,60400.0,KEP
1926 TE,2.474044,0.14691089999999998,3.32036,143.59046,304.18542,318.5143,60400.0,KEP
1926 TK,2.391709,0.1976614,5.39043,346.1038,13.75407,137.49979,60400.0,KEP
1926 XB,2.2698869,0.1379628,7.36481,93.75536,44.36821,112.89983,60400.0,KEP
1927 AD,2.8737183,0.046165399999999995,1.17037,329.00344,102.34053,23.01929,60400.0,KEP
1927 QB,2.4207821,0.25721269999999996,4.58667,1.95787,57.01207,186.98408,60400.0,KEP
1927 QF,3.0956206,0.1487456,4.18871,30.29422,9.47378,239.2147,60400.0,KEP
1927 UC,3.1234532,0.1792258,1.85471,147.93897,186.51513,200.36803,60400.0,KEP
1928 BC,2.329064,0.1814713,5.13197,80.72704,32.42068,37.39865,60400.0,KEP
1926 CC,2.6891156,0.1318958,3.89684,186.7952,109.26681,299.79071,60400.0,KEP
1927 QH,3.184272,0.041235999999999995,6.63924,139.94966,130.50142,93.49161,60400.0,KEP
1927 QL,3.1690117,0.0525234,8.34567,313.05721,154.87045,301.00564,60400.0,KEP
1927 RD,3.0153616,0.0890987,10.06539,30.13499,26.02661,104.66927,60400.0,KEP
1927 WA,2.2018977,0.1955305,7.65284,54.45582,319.60183,204.95935,60400.0,KEP
1927 WB,2.2137068,0.12728979999999998,3.7271,71.44883,354.35569,80.83276,60400.0,KEP
1928 DG,2.3582171,0.2210846,21.5404,147.94178,338.07998,203.82595,60400.0,KEP
1928 DT,3.4185982,0.0708085,1.15231,80.83316,12.86091,123.72938,60400.0,KEP
A924 AE,2.9010009,0.0842967,5.39106,307.42624,314.5731,321.5814,60400.0,KEP
1925 LA,3.1328536,0.2700093,25.19427,55.58963,251.20376,243.11989,60400.0,KEP
1926 CB,2.5461883,0.13066919999999999,14.02301,149.09372,310.58222,83.19376,60400.0,KEP
1926 GS,3.0295132,0.017007599999999998,10.01008,178.40704,348.41139,265.32695,60400.0,KEP
1928 OB,2.601871,0.19335249999999998,9.46683,81.30855,247.74262,269.33546,60400.0,KEP
1928 PC,2.6428508,0.2936068,1.53392,133.8122,176.67366,104.07515,60400.0,KEP
1928 RJ,2.6895782,0.11624849999999999,13.38889,328.88551,81.5002,189.52743,60400.0,KEP
1928 RQ,3.1758263,0.278995,11.84147,22.19394,348.16534,317.5063,60400.0,KEP
1928 SD,2.8963003,0.0704472,1.03097,303.821,21.72948,169.32391,60400.0,KEP
1928 SJ,3.2285032,0.07827,21.44345,201.81123,105.00482,201.31283,60400.0,KEP
1928 VA,3.0680557999999998,0.11058019999999999,15.82956,216.54711,117.92431,346.23134,60400.0,KEP
1928 VB,1.9337125,0.09447839999999999,17.90093,267.6046,77.77823,226.86305,60400.0,KEP
1928 XA,2.6318658,0.34278939999999997,6.43893,128.63214,277.29938,140.44282,60400.0,KEP
1929 AB,3.0094282,0.1053684,10.95943,116.8461,223.24683,167.61888,60400.0,KEP
1929 CW,2.5998389,0.12392819999999999,13.03883,328.0842,230.97538,228.95789,60400.0,KEP
1929 FB,3.1919026,0.12014259999999999,7.06897,110.56712,349.70413,335.59149,60400.0,KEP
1929 KA,2.4279408,0.2563293,24.90854,234.21433,78.1182,352.84612,60400.0,KEP
1929 CU,3.2290097,0.09807479999999999,4.12169,267.96671,1.34619,109.32658,60400.0,KEP
1928 PD,2.2185578,0.2408367,5.855,241.69862,78.62392,341.9895,60400.0,KEP
1927 CO,2.9928757,0.1033008,3.89106,132.31282,234.71594,67.41795,60400.0,KEP
1928 PE,3.0216077,0.1095232,8.9894,302.73366,86.63374,20.87652,60400.0,KEP
1928 QC,3.1154352,0.1345209,13.25471,324.38826,119.45944,51.96112,60400.0,KEP
1928 WA,3.0954488,0.07182909999999999,10.71972,195.3125,208.11196,208.42629,60400.0,KEP
1928 XC,3.0989489,0.174264,15.28707,71.63226,56.59159,132.61527,60400.0,KEP
1929 GD,2.9276754,0.2241764,16.54894,356.21331,83.3527,100.2819,60400.0,KEP
1927 KA,2.247111,0.1985383,4.34425,147.08789,150.99196,227.73117,60400.0,KEP
1927 QD,3.2118449,0.042926,13.95343,318.68571,337.53434,354.86289,60400.0,KEP
1927 UB,2.6110182,0.1544798,7.8543,57.34916,229.97338,31.18594,60400.0,KEP
1928 RV,2.2160002,0.1552537,4.05098,158.61238,219.88057,330.81223,60400.0,KEP
1928 RZ,2.547866,0.1569054,6.16483,357.86542,49.99983,147.64015,60400.0,KEP
1928 SB,2.6079821,0.2550609,4.73111,63.31527,329.01228,232.57616,60400.0,KEP
1928 ST,2.2252116,0.1563753,6.41876,79.84469,317.57736,259.77668,60400.0,KEP
1928 TB,2.9291896,0.0304322,7.78928,22.22557,270.23125,95.91084,60400.0,KEP
1957 UN1,3.1269616,0.2177028,3.04075,97.15152,10.17648,283.45249,60400.0,KEP
1929 AC,2.2721214,0.1475207,6.5028500000000005,0.9890800000000001,135.98833,262.04017,60400.0,KEP
1929 AJ,2.5928319,0.2658108,14.76943,128.32984,282.76846,327.56948,60400.0,KEP
1929 EB,2.7863355,0.0439163,1.01232,59.43,234.88247,35.928960000000004,60400.0,KEP
1929 PH,3.0200114,0.0845446,8.62219,269.1878,139.93464,295.0769,60400.0,KEP
1929 RC,2.2280822,0.1981279,2.1696,216.09117,113.76776,164.31569,60400.0,KEP
1929 RO,2.2280938,0.28609399999999996,3.22987,100.65569,248.06878,156.19337,60400.0,KEP
1929 RB1,2.6846716,0.2755666,7.22473,29.57401,270.4315,197.72393,60400.0,KEP
1929 RC1,2.1857135,0.1876028,5.37478,58.20206,306.72575,79.0157,60400.0,KEP
1929 SA,2.6770986,0.46942629999999996,15.32112,5.77926,332.91039,185.38229,60400.0,KEP
